epoch,total,rec,kl,beta
532,118.572650,112.753999,5.818650,1.0000
533,118.583736,112.863186,5.720551,1.0000
534,118.671957,112.922969,5.748988,1.0000
535,118.494718,112.775808,5.718910,1.0000
536,118.524299,112.831237,5.693061,1.0000
537,118.433658,112.778700,5.654959,1.0000
538,118.337505,112.563110,5.774395,1.0000
539,118.405441,112.748697,5.656743,1.0000
540,118.584960,112.830326,5.754634,1.0000
541,118.599120,112.861674,5.737446,1.0000
542,118.423685,112.646039,5.777646,1.0000
543,118.316146,112.664737,5.651409,1.0000
544,118.514803,112.755967,5.758836,1.0000
545,118.490366,112.785787,5.704579,1.0000
546,118.523798,112.748952,5.774846,1.0000
547,118.560331,112.824343,5.735988,1.0000
548,118.411621,112.641619,5.770003,1.0000
549,118.521286,112.738035,5.783251,1.0000
550,118.350078,112.609628,5.740450,1.0000
551,118.414292,112.570711,5.843581,1.0000
552,118.339437,112.660147,5.679290,1.0000
553,118.498717,112.787919,5.710798,1.0000
554,118.404411,112.726054,5.678357,1.0000
555,118.582374,112.806680,5.775695,1.0000
556,118.539824,112.671339,5.868485,1.0000
557,118.372246,112.647540,5.724706,1.0000
558,118.298917,112.575728,5.723189,1.0000
559,118.477133,112.749277,5.727856,1.0000
560,118.411541,112.624368,5.787173,1.0000
561,118.292349,112.550114,5.742236,1.0000
562,118.373215,112.586583,5.786632,1.0000
563,118.456707,112.642830,5.813877,1.0000
564,118.380079,112.640975,5.739104,1.0000
565,118.507456,112.730075,5.777381,1.0000
566,118.348711,112.532241,5.816470,1.0000
567,118.304005,112.498663,5.805343,1.0000
568,118.303365,112.643219,5.660146,1.0000
569,118.264562,112.521462,5.743099,1.0000
570,118.459456,112.700316,5.759140,1.0000
571,118.583108,112.846664,5.736444,1.0000
572,118.339766,112.543893,5.795873,1.0000
573,118.341088,112.489182,5.851906,1.0000
574,118.208539,112.504052,5.704487,1.0000
575,118.247813,112.460783,5.787030,1.0000
576,118.230815,112.435594,5.795222,1.0000
577,118.141457,112.331023,5.810435,1.0000
578,118.256334,112.473758,5.782576,1.0000
579,118.215890,112.390356,5.825534,1.0000
580,118.281932,112.465791,5.816140,1.0000
581,118.274213,112.443058,5.831155,1.0000
582,118.175018,112.333736,5.841282,1.0000
583,117.998198,112.310561,5.687637,1.0000
584,118.178706,112.420679,5.758027,1.0000
585,118.343185,112.492834,5.850351,1.0000
586,118.194100,112.415739,5.778360,1.0000
587,118.143169,112.270411,5.872758,1.0000
588,118.221907,112.428633,5.793275,1.0000
589,118.167453,112.369998,5.797455,1.0000
590,118.205543,112.395229,5.810314,1.0000
591,118.149837,112.317626,5.832211,1.0000
592,118.103300,112.332905,5.770395,1.0000
593,118.056187,112.264505,5.791682,1.0000
594,118.116627,112.272834,5.843793,1.0000
595,118.274955,112.392312,5.882644,1.0000
596,118.164255,112.436552,5.727703,1.0000
597,118.171177,112.289812,5.881365,1.0000
598,118.118072,112.352913,5.765158,1.0000
599,118.121303,112.345265,5.776038,1.0000
600,117.995167,112.219075,5.776092,1.0000
601,118.121198,112.250790,5.870409,1.0000
602,118.219339,112.495522,5.723817,1.0000
603,118.161644,112.351396,5.810248,1.0000
604,117.982008,112.171605,5.810403,1.0000
605,117.992251,112.214367,5.777884,1.0000
606,118.138724,112.260404,5.878319,1.0000
607,118.051049,112.263762,5.787286,1.0000
608,118.207264,112.338700,5.868564,1.0000
609,118.067804,112.211963,5.855841,1.0000
610,117.978448,112.112070,5.866378,1.0000
611,117.903372,112.121977,5.781395,1.0000
